"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 13:44:02 GMT 2025","Thu Feb 06 13:44:03 GMT 2025","1379","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project Admin should be able to create build type for their project",""
"passed","Thu Feb 06 13:43:59 GMT 2025","Thu Feb 06 13:44:01 GMT 2025","2212","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project Admin should be not able to create build type for not their project",""
"passed","Thu Feb 06 13:44:05 GMT 2025","Thu Feb 06 13:44:05 GMT 2025","401","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIDTest","User should not be able to create two build types with the same ID",""
"passed","Thu Feb 06 13:44:03 GMT 2025","Thu Feb 06 13:44:04 GMT 2025","986","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Feb 06 13:42:53 GMT 2025","Thu Feb 06 13:43:44 GMT 2025","50271","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
