"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 17:16:23 GMT 2024","Sat Nov 23 17:17:15 GMT 2024","52845","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 23 17:17:34 GMT 2024","Sat Nov 23 17:17:35 GMT 2024","1096","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project Admin should be able to create build type for their project",""
"passed","Sat Nov 23 17:17:35 GMT 2024","Sat Nov 23 17:17:36 GMT 2024","414","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 23 17:17:31 GMT 2024","Sat Nov 23 17:17:33 GMT 2024","1966","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project Admin should be not able to create build type for not their project",""
"passed","Sat Nov 23 17:17:36 GMT 2024","Sat Nov 23 17:17:37 GMT 2024","856","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIDTest","User should not be able to create two build types with the same ID",""
